sector_id,sector_name,exchange,symbol,description,type,full_symbol
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,AAGR11,FII Agrícola A,Ação,BOVESPA\AAGR11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,ABEV3,Ambev ON,Ação,BOVESPA\ABEV3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,AGRO3,Agrogalaxy ON,Ação,BOVESPA\AGRO3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,AGRX11,FII Agrícola,Ação,BOVESPA\AGRX11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,AGXY3,Agrogalaxy XY ON,Ação,BOVESPA\AGXY3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,AMZO34,BDR Amazon Fresh,Ação,BOVESPA\AMZO34
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,BEEF11,ETF Proteína,Ação,BOVESPA\BEEF11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,BEEF3,Minerva ON,Ação,BOVESPA\BEEF3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,CAMB3,Cambuci ON,Ação,BOVESPA\CAMB3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,CAML3,Camil ON,Ação,BOVESPA\CAML3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,CASH3,Méliuz ON,Ação,BOVESPA\CASH3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,COCA34,BDR Coca-Cola,Ação,BOVESPA\COCA34
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,CORN11,ETF Grãos,Ação,BOVESPA\CORN11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,GOAT11,ETF Agro,Ação,BOVESPA\GOAT11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,IAGR11,FII IAG,Ação,BOVESPA\IAGR11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,JALL3,JBS ON,Ação,BOVESPA\JALL3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,JBSS32,JBS Bonds,Ação,BOVESPA\JBSS32
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,MATD3,Mato Grosso ON,Ação,BOVESPA\MATD3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,MBRF3,Minerva BDR,Ação,BOVESPA\MBRF3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,MDIA3,M. Dias Branco ON,Ação,BOVESPA\MDIA3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,MEAL3,BK Brasil ON,Ação,BOVESPA\MEAL3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,NATU3,Natura ON,Ação,BOVESPA\NATU3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,PEPB34,BDR PepsiCo,Ação,BOVESPA\PEPB34
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,RAIZ4,Raízen PN,Ação,BOVESPA\RAIZ4
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,RURA11,FII Rural,Ação,BOVESPA\RURA11
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,SLCE3,SLC Agrícola ON,Ação,BOVESPA\SLCE3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,SMFT3,Smart Fit ON,Ação,BOVESPA\SMFT3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,SMTO3,São Martinho ON,Ação,BOVESPA\SMTO3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,SOJA3,Soja ON,Ação,BOVESPA\SOJA3
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,STZB34,BDR Constellation,Ação,BOVESPA\STZB34
sector_001,Ações - Agronegócio e Alimentos,BOVESPA,TGMA3,Tegma ON,Ação,BOVESPA\TGMA3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,ALOS3,Allos ON,Ação,BOVESPA\ALOS3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,AXIA3,Axia ON,Ação,BOVESPA\AXIA3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,AXIA6,Axia PNB,Ação,BOVESPA\AXIA6
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,AXIA7,Axia PNC,Ação,BOVESPA\AXIA7
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,CURY3,Cury ON,Ação,BOVESPA\CURY3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,CYRE3,Cyrela ON,Ação,BOVESPA\CYRE3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,CYRE4,Cyrela PN,Ação,BOVESPA\CYRE4
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,DEXP3,Dexxos ON,Ação,BOVESPA\DEXP3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,DIRR3,Direcional ON,Ação,BOVESPA\DIRR3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,DXCO3,Dexco ON,Ação,BOVESPA\DXCO3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,EVEN3,Even ON,Ação,BOVESPA\EVEN3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,EZTC3,EZTC ON,Ação,BOVESPA\EZTC3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,GGPS3,GPS ON,Ação,BOVESPA\GGPS3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,HBOR3,Helbor ON,Ação,BOVESPA\HBOR3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,HOME34,BDR Home Depot,Ação,BOVESPA\HOME34
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,JHSF3,JHSF ON,Ação,BOVESPA\JHSF3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,LAND3,Landbank ON,Ação,BOVESPA\LAND3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,LAVV3,Lavvi ON,Ação,BOVESPA\LAVV3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,LOGG3,Log Com ON,Ação,BOVESPA\LOGG3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,LUPA13,Lupa CRI,Ação,BOVESPA\LUPA13
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,LUPA3,Lupa ON,Ação,BOVESPA\LUPA3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,MRVE3,MRV ON,Ação,BOVESPA\MRVE3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,MTRE3,Mitre ON,Ação,BOVESPA\MTRE3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,NGRD3,Norgrid ON,Ação,BOVESPA\NGRD3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,PDGR3,PDG ON,Ação,BOVESPA\PDGR3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,PLPL3,Plpar ON,Ação,BOVESPA\PLPL3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,RENT3,Localiza ON,Ação,BOVESPA\RENT3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,RENT4,Localiza PN,Ação,BOVESPA\RENT4
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,RSID3,Rossi ON,Ação,BOVESPA\RSID3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,SEER3,Ser ON,Ação,BOVESPA\SEER3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,TEND3,Tenda ON,Ação,BOVESPA\TEND3
sector_002,Ações - Construção Civil e Imóveis,BOVESPA,TRIS3,Trisul ON,Ação,BOVESPA\TRIS3
sector_003,Ações - Educação,BOVESPA,ANIM3,Ânima ON,Ação,BOVESPA\ANIM3
sector_003,Ações - Educação,BOVESPA,COGN3,Cogna ON,Ação,BOVESPA\COGN3
sector_003,Ações - Educação,BOVESPA,ESPA3,Espaço Smart ON,Ação,BOVESPA\ESPA3
sector_003,Ações - Educação,BOVESPA,SEER3,Ser Educacional ON,Ação,BOVESPA\SEER3
sector_003,Ações - Educação,BOVESPA,YDUQ3,Yduqs ON,Ação,BOVESPA\YDUQ3
sector_004,Ações - Energia Elétrica,BOVESPA,ALUP11,Alupar UNT,Ação,BOVESPA\ALUP11
sector_004,Ações - Energia Elétrica,BOVESPA,ALUP3,Alupar ON,Ação,BOVESPA\ALUP3
sector_004,Ações - Energia Elétrica,BOVESPA,ALUP4,Alupar PN,Ação,BOVESPA\ALUP4
sector_004,Ações - Energia Elétrica,BOVESPA,AURE3,Auren ON,Ação,BOVESPA\AURE3
sector_004,Ações - Energia Elétrica,BOVESPA,CBEE3,CBEE ON,Ação,BOVESPA\CBEE3
sector_004,Ações - Energia Elétrica,BOVESPA,CEAB3,CEA ON,Ação,BOVESPA\CEAB3
sector_004,Ações - Energia Elétrica,BOVESPA,CEBR3,CELB ON,Ação,BOVESPA\CEBR3
sector_004,Ações - Energia Elétrica,BOVESPA,CEBR5,CELB PNA,Ação,BOVESPA\CEBR5
sector_004,Ações - Energia Elétrica,BOVESPA,CEBR6,CELB PNB,Ação,BOVESPA\CEBR6
sector_004,Ações - Energia Elétrica,BOVESPA,CEEB3,Coelba ON,Ação,BOVESPA\CEEB3
sector_004,Ações - Energia Elétrica,BOVESPA,CEOC11,Ceoc UNT,Ação,BOVESPA\CEOC11
sector_004,Ações - Energia Elétrica,BOVESPA,CGRA4,Ceg PN,Ação,BOVESPA\CGRA4
sector_004,Ações - Energia Elétrica,BOVESPA,CLSC4,Celesc PN,Ação,BOVESPA\CLSC4
sector_004,Ações - Energia Elétrica,BOVESPA,CMIG3,Cemig ON,Ação,BOVESPA\CMIG3
sector_004,Ações - Energia Elétrica,BOVESPA,CMIG4,Cemig PN,Ação,BOVESPA\CMIG4
sector_004,Ações - Energia Elétrica,BOVESPA,COCE3,Coelce ON,Ação,BOVESPA\COCE3
sector_004,Ações - Energia Elétrica,BOVESPA,COCE5,Coelce PNA,Ação,BOVESPA\COCE5
sector_004,Ações - Energia Elétrica,BOVESPA,COCE6,Coelce PNB,Ação,BOVESPA\COCE6
