symbol,ok,priceBRL,status,message
AAGR11,1,95.01,200,""
ABEV3,1,16.27,200,""
AGRO3,1,21.24,200,""
AGRX11,1,9.23,200,""
AGXY3,1,2.24,200,""
AMZO34,1,53.42,200,""
BEEF11,0,,0,"fetch failed"
BEEF3,1,5.21,200,""
CAMB3,1,9.41,200,""
CAML3,1,6.87,200,""
CASH3,1,3.41,200,""
COCA34,1,69.05,200,""
CORN11,0,,0,"fetch failed"
GOAT11,0,,0,"fetch failed"
IAGR11,0,,0,"fetch failed"
JALL3,0,,0,"fetch failed"
JBSS32,0,,0,"fetch failed"
MATD3,0,,0,"fetch failed"
MBRF3,0,,0,"fetch failed"
MDIA3,0,,0,"fetch failed"
MEAL3,0,,0,"fetch failed"
NATU3,0,,0,"fetch failed"
PEPB34,0,,0,"fetch failed"
RAIZ4,0,,0,"fetch failed"
RURA11,0,,0,"fetch failed"
SLCE3,0,,0,"fetch failed"
SMFT3,0,,0,"fetch failed"
SMTO3,0,,0,"fetch failed"
SOJA3,0,,0,"fetch failed"
STZB34,0,,0,"fetch failed"
TGMA3,0,,0,"fetch failed"
ALOS3,0,,0,"fetch failed"
AXIA3,0,,0,"fetch failed"
AXIA6,0,,0,"fetch failed"
AXIA7,0,,0,"fetch failed"
CURY3,0,,0,"fetch failed"
CYRE3,0,,0,"fetch failed"
CYRE4,0,,0,"fetch failed"
DEXP3,0,,0,"fetch failed"
DIRR3,0,,0,"fetch failed"
DXCO3,0,,0,"fetch failed"
EVEN3,0,,0,"fetch failed"
EZTC3,0,,0,"fetch failed"
GGPS3,0,,0,"fetch failed"
HBOR3,0,,0,"fetch failed"
HOME34,0,,0,"fetch failed"
JHSF3,0,,0,"fetch failed"
LAND3,0,,0,"fetch failed"
LAVV3,0,,0,"fetch failed"
LOGG3,0,,0,"fetch failed"
LUPA13,0,,0,"fetch failed"
LUPA3,0,,0,"fetch failed"
MRVE3,0,,0,"fetch failed"
MTRE3,0,,0,"fetch failed"
NGRD3,0,,0,"fetch failed"
PDGR3,0,,0,"fetch failed"
PLPL3,0,,0,"fetch failed"
RENT3,0,,0,"fetch failed"
